n,A,B
10,14,34
20,28,68
40,56,136
80,113,273
160,226,546
320,452,1092
640,905,2185
1280,1810,4370
2560,3620,8740
5120,7240,17480
10240,14481,34961
20480,28963,69923
40960,57926,139846
81920,115852,279692
163840,231704,559384
327680,463409,1118769
655360,926819,2237539
1310720,1853638,4475078
2621440,3707276,8950156
5242880,7414552,17900312
10485760,14829104,35800624
20971520,29658208,71601248
41943040,59316416,143202496
83886080,118632832,286404992
167772160,237265664,572809984
335544320,474531328,1145619968
671088640,949062656,2291239936
1342177280,1898125312,4582479872
2684354560,3796250624,9164959744
5368709120,7592501249,18329919489
10737418240,15185002499,36659838979
21474836480,30370004999,73319677959
42949672960,60740009999,146639355919
85899345920,121480019999,293278711839
171798691840,242960039998,586557423678
343597383680,485920079996,1173114847356
687194767360,971840159992,2346229694712
1374389534720,1943680319984,4692459389424
2748779069440,3887360639969,9384918778849
5497558138880,7774721279938,18769837557698
10995116277760,15549442559877,37539675115397
21990232555520,31098885119754,75079350230794
43980465111040,62197770239509,150158700461589
87960930222080,124395540479019,300317400923179
175921860444160,248791080958038,600634801846358
351843720888320,497582161916076,1201269603692716
703687441776640,995164323832152,2402539207385432
1407374883553280,1990328647664304,4805078414770864
2814749767106560,3980657295328608,9610156829541728
5629499534213120,7961314590657216,19220313659083456
11258999068426240,15922629181314432,38440627318166912
22517998136852480,31845258362628865,76881254636333825
45035996273704960,63690516725257730,153762509272667650
90071992547409920,127381033450515460,307525018545335300
180143985094819840,254762066901030920,615050037090670600
360287970189639680,509524133802061840,1230100074181341200
720575940379279360,1019048267604123680,2460200148362682400
1441151880758558720,2038096535208247360,4920400296725364800
2882303761517117440,4076193070416494720,9840800593450729600
5764607523034234880,8152386140832989440,19681601186901459200
11529215046068469760,16304772281665978880,39363202373802918400
23058430092136939520,32609544563331957760,78726404747605836800
46116860184273879040,65219089126663915520,157452809495211673600
92233720368547758080,130438178253327831040,314905618990423347200
184467440737095516160,260876356506655662080,629811237980846694400
368934881474191032320,521752713013311324160,1259622475961693388800
737869762948382064640,1043505426026622648320,2519244951923386777600
1475739525896764129280,2087010852053245296640,5038489903846773555200
2951479051793528258560,4174021704106490593280,10076979807693547110400
5902958103587056517120,8348043408212981186560,20153959615387094220800
11805916207174113034240,16696086816425962373120,40307919230774188441600
23611832414348226068480,33392173632851924746240,80615838461548376883200
47223664828696452136960,66784347265703849492480,161231676923096753766400
94447329657392904273920,133568694531407698984960,322463353846193507532800
188894659314785808547840,267137389062815397969920,644926707692387015065600
377789318629571617095680,534274778125630795939840,1289853415384774030131200
755578637259143234191360,1068549556251261591879680,2579706830769548060262400
1511157274518286468382720,2137099112502523183759360,5159413661539096120524800
3022314549036572936765440,4274198225005046367518720,10318827323078192241049600
6044629098073145873530880,8548396450010092735037440,20637654646156384482099200
12089258196146291747061760,17096792900020185470074880,41275309292312768964198400
24178516392292583494123520,34193585800040370940149760,82550618584625537928396800
48357032784585166988247040,68387171600080741880299520,165101237169251075856793600
96714065569170333976494080,136774343200161483760599040,330202474338502151713587200
193428131138340667952988160,273548686400322967521198080,660404948677004303427174400
386856262276681335905976320,547097372800645935042396160,1320809897354008606854348800
773712524553362671811952640,1094194745601291870084792320,2641619794708017213708697600
1547425049106725343623905280,2188389491202583740169584640,5283239589416034427417395200
3094850098213450687247810560,4376778982405167480339169280,10566479178832068854834790400
6189700196426901374495621120,8753557964810334960678338560,21132958357664137709669580800
12379400392853802748991242240,17507115929620669921356677120,42265916715328275419339161600
24758800785707605497982484480,35014231859241339842713354240,84531833430656550838678323200
49517601571415210995964968960,70028463718482679685426708480,169063666861313101677356646400
99035203142830421991929937920,140056927436965359370853416960,338127333722626203354713292800
198070406285660843983859875840,280113854873930718741706833920,676254667445252406709426585600
396140812571321687967719751680,560227709747861437483413667840,1352509334890504813418853171200
792281625142643375935439503360,1120455419495722874966827335680,2705018669781009626837706342400
1584563250285286751870879006720,2240910838991445749933654671360,5410037339562019253675412684800
3169126500570573503741758013440,4481821677982891499867309342720,10820074679124038507350825369600
6338253001141147007483516026880,8963643355965782999734618685440,21640149358248077014701650739200
