n,рекурзивна,алгебарска,аритметичка
10,0.022,0.009,0.106
20,0.023,0.014,0.175
40,0.038,0.018,0.397
80,0.069,0.019,0.801
160,0.110,0.033,1.718
320,0.212,0.045,3.702
640,0.398,0.085,7.224
1280,0.764,0.154,13.491
2560,1.559,0.313,18.112
5120,2.969,0.575,31.190
10240,5.446,1.223,63.070
20480,11.533,2.325,130.527
40960,19.007,4.733,274.890
81920,29.549,6.898,577.927
163840,38.508,11.908,1212.630
327680,77.360,23.227,2531.220
655360,154.610,46.643,5276.950
1310720,310.208,92.360,11054.600
2621440,619.201,188.162,23401.900
5242880,1242.340,369.427,49698.100
10485760,2498.780,753.910,103282.000
20971520,5021.820,1524.980,213003.000
41943040,10052.700,3065.810,587616.000

