10,0.015931,12,30
20,0.001162,26,64
40,0.000994,55,133
80,0.001267,111,269
160,0.001905,224,542
320,0.003201,451,1089
640,0.00586,903,2181
1280,0.011166,1808,4366
2560,0.021395,3618,8736
5120,0.041887,7239,17477
10240,0.082972,14480,34958
20480,0.165115,28961,69919
40960,0.329301,57924,139842
81920,0.679906,115850,279688
163840,1.31463,231703,559381
327680,2.63169,463408,1.11877e+06
655360,5.27181,926817,2.23754e+06
1310720,10.5364,1.85364e+06,4.47507e+06
2621440,21.2587,3.70727e+06,8.95015e+06
5242880,42.3967,7.41455e+06,1.79003e+07
10485760,84.3222,1.48291e+07,3.58006e+07
20971520,168.714,2.96582e+07,7.16012e+07
41943040,337.166,5.93164e+07,1.43202e+08
83886080,675.109,1.18633e+08,2.86405e+08
167772160,1367.99,2.37266e+08,5.7281e+08
335544320,2730.93,4.74531e+08,1.14562e+09
671088640,5441.82,9.49063e+08,2.29124e+09
1342177280,10910.4,1.89813e+09,4.58248e+09
2684354560,21574.5,3.79625e+09,9.16496e+09
5368709120,43141.4,7.5925e+09,1.83299e+10
10737418240,86310.3,1.5185e+10,3.66598e+10
21474836480,172576,3.037e+10,7.33197e+10
42949672960,345192,6.074e+10,1.46639e+11
85899345920,690475,1.2148e+11,2.93279e+11
171798691840,1.3807e+06,2.4296e+11,5.86557e+11
343597383680,2.76151e+06,4.8592e+11,1.17311e+12
687194767360,5.523e+06,9.7184e+11,2.34623e+12
1374389534720,1.10459e+07,1.94368e+12,4.69246e+12
2748779069440,2.58468e+07,3.88736e+12,9.38492e+12
